produto_id,date,time,nome_produto,valor,categoria,status,departamento
5,2026-02-02,02:09:31,Mochila Notebook 15.6,582.5,Acessórios,em baixa,Casa & Cozinha
6,2026-02-02,22:18:54,Garrafa Térmica 750ml,314.19,Sustentável,em baixa,Beleza
3,2026-02-02,17:07:50,Fone Bluetooth In-Ear,1735.26,Sustentável,em baixa,Beleza
10,2026-02-02,06:17:37,Teclado Mecânico RGB,631.52,Infantil,ativo,Esportes
8,2026-02-02,07:10:39,Liquidificador 1200W,472.92,Edição Especial,ativo,Moda
13,2026-02-02,20:19:51,Câmera de Segurança Wi‑Fi,115.63,Importado,ativo,Moda
29,2026-02-02,14:55:09,Boneco Colecionável,970.96,Sustentável,cancelado,Moda
10,2026-02-02,19:39:46,Teclado Mecânico RGB,1487.84,Importado,em baixa,Eletrônicos
6,2026-02-02,13:10:58,Garrafa Térmica 750ml,936.22,Premium,ativo,Beleza
17,2026-02-02,21:46:57,Cabo USB‑C Reforçado 2m,1978.95,Acessórios,em baixa,Eletrônicos
9,2026-02-02,16:13:53,Air Fryer 4L Digital,610.64,Importado,ativo,Beleza
25,2026-02-02,10:00:47,Creme Hidratante 400ml,791.76,Infantil,cancelado,Moda
19,2026-02-02,14:11:37,Kit Ferramentas 46 peças,2239.64,Sustentável,produzinho,Casa & Cozinha
24,2026-02-02,11:58:19,Perfume Feminino 100ml,1977.18,Importado,em baixa,Beleza
6,2026-02-02,19:46:06,Garrafa Térmica 750ml,2349.31,Sustentável,produzinho,Eletrônicos
3,2026-02-02,18:06:08,Fone Bluetooth In-Ear,2046.44,Básico,produzinho,Beleza
11,2026-02-02,06:37:14,Mouse Gamer 12000 DPI,1895.86,Premium,ativo,Eletrônicos
13,2026-02-02,15:35:50,Câmera de Segurança Wi‑Fi,583.19,Importado,em baixa,Esportes
18,2026-02-02,12:13:43,Organizador de Cabos,452.24,Básico,em baixa,Esportes
17,2026-02-02,01:10:59,Cabo USB‑C Reforçado 2m,296.69,Premium,ativo,Moda
3,2026-02-02,04:40:34,Fone Bluetooth In-Ear,1935.26,Importado,ativo,Eletrônicos
22,2026-02-02,16:10:00,Toalha de Banho Premium,333.24,Edição Especial,em baixa,Moda
29,2026-02-02,02:26:03,Boneco Colecionável,1908.95,Premium,em baixa,Casa & Cozinha
1,2026-02-02,04:50:11,Camiseta Básica Algodão,2045.17,Importado,ativo,Eletrônicos
19,2026-02-02,11:03:52,Kit Ferramentas 46 peças,2166.05,Importado,cancelado,Moda
1,2026-02-02,19:23:00,Camiseta Básica Algodão,1104.55,Acessórios,produzinho,Esportes
15,2026-02-02,22:51:05,Power Bank 20.000mAh,816.33,Importado,cancelado,Eletrônicos
1,2026-02-02,07:43:29,Camiseta Básica Algodão,1721.08,Sustentável,em baixa,Esportes
9,2026-02-02,20:02:38,Air Fryer 4L Digital,1339.36,Premium,cancelado,Moda
19,2026-02-02,03:04:38,Kit Ferramentas 46 peças,1279.61,Sustentável,em baixa,Beleza
16,2026-02-02,16:52:52,Carregador Turbo USB‑C,1062.14,Básico,em baixa,Eletrônicos
3,2026-02-02,08:11:59,Fone Bluetooth In-Ear,1041.82,Edição Especial,produzinho,Esportes
29,2026-02-02,18:23:01,Boneco Colecionável,2087.4,Importado,cancelado,Eletrônicos
19,2026-02-02,23:13:43,Kit Ferramentas 46 peças,518.84,Básico,produzinho,Beleza
3,2026-02-02,12:49:37,Fone Bluetooth In-Ear,74.17,Importado,ativo,Eletrônicos
21,2026-02-02,09:40:45,Jogo de Lençol Queen,2092.47,Importado,ativo,Moda
12,2026-02-02,09:35:19,"Monitor 24"" Full HD",2129.88,Acessórios,ativo,Eletrônicos
9,2026-02-02,11:21:49,Air Fryer 4L Digital,996.34,Infantil,em baixa,Casa & Cozinha
27,2026-02-02,03:24:45,Livro Best‑Seller,1668.89,Importado,em baixa,Moda
23,2026-02-02,06:13:17,Perfume Masculino 100ml,2477.38,Importado,ativo,Eletrônicos
7,2026-02-02,14:21:28,Cafeteira Elétrica 30xícaras,1330.54,Importado,ativo,Eletrônicos
1,2026-02-02,00:57:52,Camiseta Básica Algodão,292.43,Premium,produzinho,Esportes
22,2026-02-02,12:09:44,Toalha de Banho Premium,212.57,Edição Especial,produzinho,Beleza
17,2026-02-02,01:02:16,Cabo USB‑C Reforçado 2m,978.23,Premium,em baixa,Beleza
23,2026-02-02,03:25:37,Perfume Masculino 100ml,2095.54,Premium,cancelado,Beleza
24,2026-02-02,22:15:28,Perfume Feminino 100ml,657.49,Sustentável,produzinho,Esportes
18,2026-02-02,05:38:47,Organizador de Cabos,2412.26,Acessórios,em baixa,Casa & Cozinha
12,2026-02-02,10:14:46,"Monitor 24"" Full HD",2315.78,Premium,produzinho,Beleza
29,2026-02-02,19:58:56,Boneco Colecionável,2169.32,Edição Especial,cancelado,Beleza
9,2026-02-02,02:11:43,Air Fryer 4L Digital,460.89,Acessórios,produzinho,Esportes
16,2026-02-02,11:00:52,Carregador Turbo USB‑C,2002.26,Infantil,cancelado,Moda
20,2026-02-02,00:06:56,Panela Antiaderente 24cm,1364.28,Premium,ativo,Moda
1,2026-02-02,09:50:44,Camiseta Básica Algodão,991.21,Acessórios,cancelado,Beleza
24,2026-02-02,05:29:34,Perfume Feminino 100ml,1780.57,Edição Especial,em baixa,Casa & Cozinha
24,2026-02-02,22:30:31,Perfume Feminino 100ml,832.48,Edição Especial,em baixa,Moda
4,2026-02-02,08:10:52,Smartwatch Fitness Pro,2073.61,Básico,cancelado,Eletrônicos
24,2026-02-02,08:54:34,Perfume Feminino 100ml,1776.54,Importado,produzinho,Moda
26,2026-02-02,22:13:55,Shampoo Reparação 500ml,965.3,Importado,ativo,Beleza
1,2026-02-02,04:01:00,Camiseta Básica Algodão,1471.76,Premium,em baixa,Esportes
9,2026-02-02,21:20:44,Air Fryer 4L Digital,456.31,Infantil,produzinho,Moda
13,2026-02-02,15:03:36,Câmera de Segurança Wi‑Fi,2408.32,Básico,ativo,Moda
19,2026-02-02,08:57:24,Kit Ferramentas 46 peças,951.63,Acessórios,cancelado,Casa & Cozinha
14,2026-02-02,11:39:58,Lâmpada Smart LED,1061.12,Básico,cancelado,Beleza
26,2026-02-02,21:30:49,Shampoo Reparação 500ml,271.16,Sustentável,em baixa,Eletrônicos
12,2026-02-02,04:32:49,"Monitor 24"" Full HD",1905.61,Importado,ativo,Beleza
21,2026-02-02,23:34:07,Jogo de Lençol Queen,1200.02,Infantil,cancelado,Beleza
5,2026-02-02,16:01:35,Mochila Notebook 15.6,56.85,Infantil,cancelado,Moda
22,2026-02-02,20:54:00,Toalha de Banho Premium,1329.35,Acessórios,em baixa,Eletrônicos
19,2026-02-02,17:01:56,Kit Ferramentas 46 peças,1883.95,Sustentável,em baixa,Casa & Cozinha
30,2026-02-02,20:31:11,Lego Compatível 500 peças,1884.72,Premium,cancelado,Beleza
4,2026-02-02,05:53:21,Smartwatch Fitness Pro,1070.5,Premium,cancelado,Casa & Cozinha
16,2026-02-02,08:04:35,Carregador Turbo USB‑C,2408.0,Infantil,cancelado,Beleza
21,2026-02-02,03:54:41,Jogo de Lençol Queen,1293.03,Básico,ativo,Moda
7,2026-02-02,04:53:40,Cafeteira Elétrica 30xícaras,1094.35,Edição Especial,produzinho,Casa & Cozinha
22,2026-02-02,13:58:48,Toalha de Banho Premium,62.71,Infantil,cancelado,Eletrônicos
